date,open,close,high,low,volume,money
2021-03-08,7.03,8.44,8.44,7.03,614353.0,5170069.66
2021-03-09,9.28,9.28,9.28,9.28,300180.0,2785670.4
2021-03-10,10.21,10.21,10.21,10.21,178432.0,1821790.72
2021-03-11,11.23,11.23,11.23,11.23,199436.0,2239666.28
2021-03-12,12.35,12.35,12.35,12.35,1102307.0,13613491.45
2021-03-15,13.59,13.59,13.59,13.59,10308771.0,140096197.89
2021-03-16,13.99,14.95,14.95,12.23,42744826.0,578106858.3
2021-03-17,14.8,16.45,16.45,14.14,21763262.0,336192966.88
2021-03-18,15.5,18.1,18.1,15.2,42293916.0,720383725.89
2021-03-19,18.1,19.91,19.91,17.2,20176899.0,383016348.63
