date,open,close,high,low,volume,money
2021-02-01,44.95,85.0,85.22,44.39,15738623.0,1006712422.98
2021-02-02,77.0,59.05,78.87,58.88,11738013.0,799718443.1
2021-02-03,56.54,59.09,65.8,55.02,8881640.0,544945872.46
2021-02-04,57.0,50.68,61.5,50.38,8020797.0,447015238.64
2021-02-05,51.3,40.4,52.88,40.13,7704012.0,353123014.44
2021-02-08,39.97,35.81,39.99,35.01,6723704.0,245827735.65
2021-02-09,35.8,35.45,37.6,35.3,4509206.0,164018740.82
2021-02-10,36.1,35.3,36.58,35.3,2753312.0,98739839.31
2021-02-18,35.9,36.06,36.48,35.1,2378027.0,85569840.26
2021-02-19,35.97,35.92,35.99,34.08,2856551.0,99951059.4
2021-02-22,36.27,35.85,36.93,35.6,2804026.0,101336684.99
2021-02-23,36.4,42.0,42.88,36.24,6892820.0,274435216.92
2021-02-24,40.88,39.66,40.97,38.2,3854713.0,153037660.4
2021-02-25,39.7,38.11,39.83,37.8,2681714.0,102793510.61
2021-02-26,36.36,36.51,37.59,36.0,2312836.0,84693339.54
2021-03-01,36.43,37.29,37.48,36.43,1296626.0,48052410.33
2021-03-02,37.36,36.21,37.57,36.0,1614276.0,58821198.45
2021-03-03,35.68,36.49,36.83,35.49,1235189.0,44689527.08
2021-03-04,36.27,35.25,36.46,35.06,1204488.0,43023184.12
2021-03-05,35.03,35.9,36.3,35.0,975797.0,34763610.01
2021-03-08,36.24,36.8,38.47,36.0,2156960.0,80359948.16
2021-03-09,37.01,35.55,37.8,34.1,1470722.0,52273628.35
2021-03-10,35.5,34.7,35.98,34.56,1002519.0,34995574.19
2021-03-11,34.6,34.5,34.93,33.85,903399.0,31005852.23
2021-03-12,34.5,34.54,35.4,34.21,698619.0,24236350.22
2021-03-15,34.03,33.53,34.77,33.33,845044.0,28705927.89
2021-03-16,33.65,32.06,33.65,31.98,1349061.0,43709842.33
2021-03-17,32.41,32.6,33.29,32.0,764298.0,24856063.12
2021-03-18,32.68,32.3,33.0,32.05,764989.0,24804647.05
2021-03-19,32.39,32.9,33.5,32.02,1053394.0,34693550.88
